module,name,constructor,dimention,description
ABCIndex,ABC,ABCIndex(),2D,atom-bond connectivity index
,ABCGG,ABCGGIndex(),2D,Graovac-Ghorbani atom-bond connectivity index
AcidBase,nAcid,AcidicGroupCount(),2D,acidic group count
,nBase,BasicGroupCount(),2D,basic group count
AdjacencyMatrix,SpAbs_A,AdjacencyMatrix('SpAbs'),2D,SpAbs of adjacency matrix
,SpMax_A,AdjacencyMatrix('SpMax'),2D,SpMax of adjacency matrix
,SpDiam_A,AdjacencyMatrix('SpDiam'),2D,SpDiam of adjacency matrix
,SpAD_A,AdjacencyMatrix('SpAD'),2D,SpAD of adjacency matrix
,SpMAD_A,AdjacencyMatrix('SpMAD'),2D,SpMAD of adjacency matrix
,LogEE_A,AdjacencyMatrix('LogEE'),2D,LogEE of adjacency matrix
,SM1_A,AdjacencyMatrix('SM1'),2D,SM1 of adjacency matrix
,VE1_A,AdjacencyMatrix('VE1'),2D,VE1 of adjacency matrix
,VE2_A,AdjacencyMatrix('VE2'),2D,VE2 of adjacency matrix
,VE3_A,AdjacencyMatrix('VE3'),2D,VE3 of adjacency matrix
,VR1_A,AdjacencyMatrix('VR1'),2D,VR1 of adjacency matrix
,VR2_A,AdjacencyMatrix('VR2'),2D,VR2 of adjacency matrix
,VR3_A,AdjacencyMatrix('VR3'),2D,VR3 of adjacency matrix
Aromatic,nAromAtom,AromaticAtomsCount(),2D,aromatic atoms count
,nAromBond,AromaticBondsCount(),2D,aromatic bonds count
AtomCount,nAtom,AtomCount('Atom'),2D,number of all atoms
,nHeavyAtom,AtomCount('HeavyAtom'),2D,number of heavy atoms
,nSpiro,AtomCount('Spiro'),2D,number of spiro atoms
,nBridgehead,AtomCount('Bridgehead'),2D,number of bridgehead atoms
,nH,AtomCount('H'),2D,number of H atoms
,nB,AtomCount('B'),2D,number of B atoms
,nC,AtomCount('C'),2D,number of C atoms
,nN,AtomCount('N'),2D,number of N atoms
,nO,AtomCount('O'),2D,number of O atoms
,nS,AtomCount('S'),2D,number of S atoms
,nP,AtomCount('P'),2D,number of P atoms
,nF,AtomCount('F'),2D,number of F atoms
,nCl,AtomCount('Cl'),2D,number of Cl atoms
,nBr,AtomCount('Br'),2D,number of Br atoms
,nI,AtomCount('I'),2D,number of I atoms
,nX,AtomCount('X'),2D,number of halogen atoms
Autocorrelation,ATS0dv,"ATS(0, 'dv')",2D,moreau-broto autocorrelation of lag 0 weighted by valence electrons
,ATS1dv,"ATS(1, 'dv')",2D,moreau-broto autocorrelation of lag 1 weighted by valence electrons
,ATS2dv,"ATS(2, 'dv')",2D,moreau-broto autocorrelation of lag 2 weighted by valence electrons
,ATS3dv,"ATS(3, 'dv')",2D,moreau-broto autocorrelation of lag 3 weighted by valence electrons
,ATS4dv,"ATS(4, 'dv')",2D,moreau-broto autocorrelation of lag 4 weighted by valence electrons
,ATS5dv,"ATS(5, 'dv')",2D,moreau-broto autocorrelation of lag 5 weighted by valence electrons
,ATS6dv,"ATS(6, 'dv')",2D,moreau-broto autocorrelation of lag 6 weighted by valence electrons
,ATS7dv,"ATS(7, 'dv')",2D,moreau-broto autocorrelation of lag 7 weighted by valence electrons
,ATS8dv,"ATS(8, 'dv')",2D,moreau-broto autocorrelation of lag 8 weighted by valence electrons
,ATS0d,"ATS(0, 'd')",2D,moreau-broto autocorrelation of lag 0 weighted by sigma electrons
,ATS1d,"ATS(1, 'd')",2D,moreau-broto autocorrelation of lag 1 weighted by sigma electrons
,ATS2d,"ATS(2, 'd')",2D,moreau-broto autocorrelation of lag 2 weighted by sigma electrons
,ATS3d,"ATS(3, 'd')",2D,moreau-broto autocorrelation of lag 3 weighted by sigma electrons
,ATS4d,"ATS(4, 'd')",2D,moreau-broto autocorrelation of lag 4 weighted by sigma electrons
,ATS5d,"ATS(5, 'd')",2D,moreau-broto autocorrelation of lag 5 weighted by sigma electrons
,ATS6d,"ATS(6, 'd')",2D,moreau-broto autocorrelation of lag 6 weighted by sigma electrons
,ATS7d,"ATS(7, 'd')",2D,moreau-broto autocorrelation of lag 7 weighted by sigma electrons
,ATS8d,"ATS(8, 'd')",2D,moreau-broto autocorrelation of lag 8 weighted by sigma electrons
,ATS0s,"ATS(0, 's')",2D,moreau-broto autocorrelation of lag 0 weighted by intrinsic state
,ATS1s,"ATS(1, 's')",2D,moreau-broto autocorrelation of lag 1 weighted by intrinsic state
,ATS2s,"ATS(2, 's')",2D,moreau-broto autocorrelation of lag 2 weighted by intrinsic state
,ATS3s,"ATS(3, 's')",2D,moreau-broto autocorrelation of lag 3 weighted by intrinsic state
,ATS4s,"ATS(4, 's')",2D,moreau-broto autocorrelation of lag 4 weighted by intrinsic state
,ATS5s,"ATS(5, 's')",2D,moreau-broto autocorrelation of lag 5 weighted by intrinsic state
,ATS6s,"ATS(6, 's')",2D,moreau-broto autocorrelation of lag 6 weighted by intrinsic state
,ATS7s,"ATS(7, 's')",2D,moreau-broto autocorrelation of lag 7 weighted by intrinsic state
,ATS8s,"ATS(8, 's')",2D,moreau-broto autocorrelation of lag 8 weighted by intrinsic state
,ATS0Z,"ATS(0, 'Z')",2D,moreau-broto autocorrelation of lag 0 weighted by atomic number
,ATS1Z,"ATS(1, 'Z')",2D,moreau-broto autocorrelation of lag 1 weighted by atomic number
,ATS2Z,"ATS(2, 'Z')",2D,moreau-broto autocorrelation of lag 2 weighted by atomic number
,ATS3Z,"ATS(3, 'Z')",2D,moreau-broto autocorrelation of lag 3 weighted by atomic number
,ATS4Z,"ATS(4, 'Z')",2D,moreau-broto autocorrelation of lag 4 weighted by atomic number
,ATS5Z,"ATS(5, 'Z')",2D,moreau-broto autocorrelation of lag 5 weighted by atomic number
,ATS6Z,"ATS(6, 'Z')",2D,moreau-broto autocorrelation of lag 6 weighted by atomic number
,ATS7Z,"ATS(7, 'Z')",2D,moreau-broto autocorrelation of lag 7 weighted by atomic number
,ATS8Z,"ATS(8, 'Z')",2D,moreau-broto autocorrelation of lag 8 weighted by atomic number
,ATS0m,"ATS(0, 'm')",2D,moreau-broto autocorrelation of lag 0 weighted by mass
,ATS1m,"ATS(1, 'm')",2D,moreau-broto autocorrelation of lag 1 weighted by mass
,ATS2m,"ATS(2, 'm')",2D,moreau-broto autocorrelation of lag 2 weighted by mass
,ATS3m,"ATS(3, 'm')",2D,moreau-broto autocorrelation of lag 3 weighted by mass
,ATS4m,"ATS(4, 'm')",2D,moreau-broto autocorrelation of lag 4 weighted by mass
,ATS5m,"ATS(5, 'm')",2D,moreau-broto autocorrelation of lag 5 weighted by mass
,ATS6m,"ATS(6, 'm')",2D,moreau-broto autocorrelation of lag 6 weighted by mass
